customer_index,risk_level,churn_probability,top_reason_1,top_reason_2,top_reason_3,recommended_action
1,HIGH,0.7741,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
5,HIGH,0.81,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
13,HIGH,0.8465,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
17,HIGH,0.7525,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
20,HIGH,0.906,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
26,HIGH,0.7724,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
27,HIGH,0.8258,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
29,HIGH,0.9385,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
34,HIGH,0.9474,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
38,HIGH,0.9441,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
41,HIGH,0.9499,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
45,HIGH,0.7941,InternetService_Fiber optic,has_multiple_services,tenure,Investigate service quality complaints
46,HIGH,0.8512,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
51,HIGH,0.962,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
55,HIGH,0.7711,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
69,HIGH,0.9233,tenure,InternetService_Fiber optic,charges_per_month_ratio,Assign dedicated customer success manager
72,HIGH,0.8062,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
77,HIGH,0.7411,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
83,HIGH,0.966,tenure,InternetService_Fiber optic,charges_per_month_ratio,Assign dedicated customer success manager
86,HIGH,0.8612,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
87,HIGH,0.7563,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
88,HIGH,0.712,InternetService_Fiber optic,has_multiple_services,contract_risk,Investigate service quality complaints
90,HIGH,0.7798,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
93,HIGH,0.7687,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
96,HIGH,0.704,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
98,HIGH,0.8395,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
100,HIGH,0.8613,InternetService_Fiber optic,contract_risk,tenure,Investigate service quality complaints
101,HIGH,0.7708,InternetService_Fiber optic,tenure,contract_risk,Investigate service quality complaints
103,HIGH,0.7039,InternetService_Fiber optic,has_multiple_services,contract_risk,Investigate service quality complaints
111,HIGH,0.9056,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
113,HIGH,0.7302,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
114,HIGH,0.8268,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
116,HIGH,0.7228,charges_per_month_ratio,tenure,contract_risk,Offer discounted plan or loyalty reward
121,HIGH,0.8943,tenure,charges_per_month_ratio,InternetService_Fiber optic,Assign dedicated customer success manager
124,HIGH,0.9181,charges_per_month_ratio,tenure,InternetService_Fiber optic,Offer discounted plan or loyalty reward
128,HIGH,0.8074,InternetService_Fiber optic,contract_risk,StreamingTV_Yes,Investigate service quality complaints
142,HIGH,0.8325,tenure,InternetService_Fiber optic,contract_risk,Assign dedicated customer success manager
